,Unnamed: 0,address,description,postal_code,lat,lon,square_lat,square_lon
180,180,"30 BUKIT BATOK STREET 31, HONG KAH NORTH CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",659440,1.35905888839505,103.749456841487,7,9
181,181,"17 PETIR ROAD, HILLION MALL, #B1-65","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",678278,1.37834971260866,103.76274117629,8,9
182,182,"71 SUNGEI KADUT DRIVE, GAIN CITY MEGASTORE @ SUNGEI KADUT","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",729577,1.41286385690526,103.74601574229,10,8
183,183,"83 PUNGGOL CENTRAL, WATERWAY POINT","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",828761,1.40653610720599,103.901988174009,9,17
184,184,"311 NEW UPPER CHANGI ROAD, BEDOK MALL, #B1-01/43/44","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",467360,1.32479360710739,103.929182078245,5,18
185,185,"3 SIMEI STREET 6, EASTPOINT MALL, #B1-08","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",528833,1.34270618643901,103.953024503826,6,20
186,186,"1 HOUGANG ST 91, HOUGANG 1, #2-01","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538692,1.37584997338503,103.879300024096,8,16
187,187,"90 HOUGANG AVENUE 10, HOUGANG MALL, #02-13","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538766,1.37231185642959,103.89366161203,8,17
188,188,"23 SERANGOON CENTRAL, NEX MALL, #03-42","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",556083,1.35043817177432,103.87170454945,6,15
189,189,"1 HILLVIEW RISE, HILLVIEW CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",667970,1.36196724402422,103.764266389757,7,9
190,190,"1 STADIUM PLACE LEVEL 1, WAVE MALL, #01-29","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",397628,1.30384326764684,103.872750711332,4,15
191,191,"81 CLEMENCEAU AVENUE, UE SQUARE, #02-15",Bin collection; E-waste accepted: Batteries and Lamps only,239917,1.29225958039889,103.842561025611,4,14
192,192,"238 THOMSON ROAD, NOVENA SQUARE, #01-28",Bin collection; E-waste accepted: Batteries and Lamps only,307683,1.32021099973819,103.843656770909,5,14
193,193,"68 ORCHARD ROAD, PLAZA SINGAPURA, #4-12","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",238839,1.30074770847155,103.845047580881,4,14
194,194,"30 SEMBAWANG DRIVE, SUN PLAZA, #2-06","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",757713,1.44822653184262,103.819462104528,11,12
195,195,"1 WOODLANDS SQUARE, CAUSEWAY POINT, #04-19/20","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",738099,1.43600784517148,103.785688739235,11,11
196,196,460 TOA PAYOH LORONG 6,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",310460,1.3319945583363,103.849796103257,6,14
197,197,730 ANG MO KIO AVE 6,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",560730,1.37343368369214,103.845765158161,8,14
198,198,"23 SERANGOON CENTRAL, NEX MALL, #02-49/50","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",556083,1.35043817177432,103.87170454945,6,15
199,199,"50 TAMPINES NORTH DRIVE 2, COURTS MEGASTORE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",528766,1.37362335947781,103.933805897843,8,19
200,200,"53 ANG MO KIO AVE 3, ANG MO KIO HUB, #B2-40","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569933,1.3692489128202,103.848399227484,7,14
