,address,description,postal_code,lat,lon
0,"50 JURONG GATEWAY ROAD, JEM, #04-30","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",608549,1.33320021038331,103.743170436292
1,4 TAMPINES CENTRAL 5,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",529510,1.35267231590699,103.944387987324
2,230 VICTORIA STREET,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",188024,1.29981638982486,103.855923563242
3,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",608549,1.33320021038331,103.743170436292
4,2 JURONG EAST STREET 21,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609601,1.33489843717476,103.7467344968
5,2 JURONG EAST CENTRAL 1,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609731,1.33333039944934,103.740167234363
6,602 JURONG WEST ST 65,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",640602,1.33925339612415,103.700219203285
7,"21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD'S","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",689812,1.38506835667563,103.744950384161
8,101 CANTONMENT ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",89774,1.27616698002633,103.841584210034
9,1 HARBOURFRONT PLACE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",98633,1.26499758815146,103.81902706845
10,1 MARITIME SQUARE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",99253,1.26206336420704,103.818732565555
11,298 TIONG BAHRU ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",168730,1.28630852981463,103.828004847991
12,93 TOA PAYOH CENTRAL,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319194,1.33493451709456,103.850204545922
13,1999 LORONG 8 TOA PAYOH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319258,1.33489037046643,103.859378979813
14,160 LORONG 6 TOA PAYOH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319380,1.33627489206396,103.85470024903
15,51 HOUGANG AVENUE 9,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538776,1.37514897825787,103.882894179307
16,35 HOUGANG AVENUE 3,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538840,1.36475743233025,103.892622240184
17,"ANG MO KIO AVENUE 3, ANG MOH KIO HUB, #B1-58","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569933,1.3692489128202,103.848399227484
18,SIN MING AVE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",575738,1.36213756796576,103.8412861742
19,1 WOODLANDS SQUARE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",738099,1.43600784517148,103.785688739235
20,"80 MARINE PARADE ROAD, PARKWAY PARADE, #3-29","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",449269,1.30119130748691,103.905113592255
21,192 TOA PAYOH LORONG 4,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",310192,1.33166814039843,103.850487239152
22,710A ANG MO KIO AVE 8,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",561710,1.37060311973576,103.847944283348
23,"2 JURONG EAST STREET 21, IMM, #2-23","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609601,1.33489843717476,103.7467344968
24,"1 HARBOURFRONT WALK, VIVOCITY, #2-34","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",98585,1.2638958023183,103.821589254908
25,"3 SIMEI STREET 6, EASTPOINT MALL, #04-07","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",528833,1.34270618643901,103.953024503826
26,"21 TAMPINES NORTH DRIVE 2, GIANT HYPERMART TAMPINES, #03-01",Bin collection; E-waste accepted: Batteries and Lamps only,528765,1.37210169627783,103.931999887749
27,"799 NEW UPPER CHANGI ROAD, BEDOK POINT, #B1-01/02, #B-16/2 AND #B1-K1/K14","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",467351,1.32496142341112,103.932360135904
28,"1 JELEBU ROAD, BUKIT PANJANG PLAZA, #03-06","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",677743,1.38051732815914,103.763961852618
29,"5 ANG MO KIO CENTRAL 3, DJITSUN MALL, #2-1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569663,1.37285425440227,103.847607917674
30,"9 RAFFLES BOULEVARD, MILLENIA WALK, #02-27","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",39596,1.29296503959681,103.85934397868
31,"21 CHOA CHU KANG NORTH 6, YEW TEE POINT, #B1-01",Bin collection; E-waste accepted: Batteries and Lamps only,689578,1.39730190406931,103.746558072887
32,"BLK 135 JURONG GATEWAY RD, #01-337",Bin collection; E-waste accepted: Batteries and Lamps only,600135,1.33375343199036,103.739371389964
33,"2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10",Bin collection; E-waste accepted: Batteries and Lamps only,659003,1.36650698454332,103.746847120427
34,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #03-06 TO 09","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",658713,1.35018915982967,103.749021980031
35,"3 GATEWAY DRIVE, WESTGATE, #B1-32","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",608532,1.33402528745454,103.742586017746
36,"5 STADIUM WALK, KALLANG LEISURE PARK, #01-46-50","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",397693,1.30222177114752,103.876152670397
37,4000 JALAN BUKIT MERAH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",159465,1.28525426592061,103.815828543116
38,8 PENDING ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",678295,1.37645074924612,103.77055880601
39,220 CLEMENTI AVENUE 4,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",129880,1.31881518814763,103.768153686645
40,170 GHIM MOH ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",279621,1.31200940949362,103.789211186001
41,2 CLEMENTI WEST STREET 2,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",129605,1.30264555979077,103.764832077473
42,90 BOON LAY WAY,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609958,1.33997285278881,103.737065915264
43,"10 PASIR PANJANG ROAD, CLUNY COURT","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",117438,1.27494101471276,103.798931949053
44,1 ENGKU AMAN TURN,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",408528,1.3164501683615,103.89659695323
